WRN 2026-09-05T06:12:30.249 ui.9284    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:14:42.397 ui.9707    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:14:42.397 ui.9707    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:14:42.397 ui.9707    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:14:42.397 ui.9707    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:14:42.397 ui.9707    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:21:41.791 ui.10871   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:21:41.791 ui.10871   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:21:41.791 ui.10871   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:21:41.791 ui.10871   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:21:41.791 ui.10871   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:26:08.954 ui.11313   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:26:08.954 ui.11313   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:26:08.954 ui.11313   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:26:08.954 ui.11313   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:26:08.954 ui.11313   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:27:11.421 ui.12171   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:27:11.421 ui.12171   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:27:11.421 ui.12171   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:27:11.421 ui.12171   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:27:11.421 ui.12171   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:37:52.799 ui.13614   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:37:52.799 ui.13614   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:37:52.799 ui.13614   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:37:52.799 ui.13614   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:37:52.799 ui.13614   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:40:44.892 ui.13856   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:40:44.892 ui.13856   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
